model_version,split,prediction_count,mae,rmse,mape,wape,bias,peak_hour_mae,ramp_mae,directional_accuracy,prediction_latency_ms,training_seconds
gradient_boosting_v0_1,test,3913,605.2103852921134,800.0517983302439,0.6268710784670595,0.6311903191651581,-94.58195877939822,896.6774444356053,605.2103852921134,91.97546639407105,0.0023778175300324216,38.78095410000242
random_forest_v0_1,test,3913,689.2547944690608,948.8235023715546,0.7069173430716841,0.7188425120911607,-76.62912806941365,1104.118292704272,689.2547944690608,91.08101201124457,0.017963915157185165,12.200855000002775
ridge_regression_v0_1,test,3913,758.1486086729943,1018.8133968740044,0.7899064630204992,0.7906937387598787,-45.457542104207974,986.6767674572561,758.1486086729943,89.80322003577818,0.0006244824929405628,0.03252920000522863
linear_regression_v0_1,test,3913,758.2901406233884,1018.8299281059143,0.7900482391084318,0.790841346268131,-44.08971573771012,985.8993163013907,758.2901406233884,89.80322003577818,0.0006521083538318392,0.0735428000043612
lasso_regression_v0_1,test,3913,758.342466403342,1018.9733540720686,0.7900684530695905,0.7908959182426909,-45.20834850419669,986.3853558450014,758.342466403342,89.8287758752875,0.0006422182467296993,62.89753489999566
