split,model_version,prediction_count,mae,rmse,mape,smape,wape,bias,absolute_bias,median_absolute_error,p90_absolute_error,p95_absolute_error,peak_threshold_mw,peak_prediction_count,peak_hour_mae,peak_hour_rmse,peak_hour_bias,ramp_mae,directional_accuracy,overprediction_rate,underprediction_rate,prediction_latency_ms,slice_column,slice_value
test,baseline_lag_1h_v0_1,163,2773.8588957055213,3443.5125391614247,2.673578406068045,2.7225876306729404,2.5879651968452557,-1975.2085889570553,1975.2085889570553,2554.0,5638.8,6523.200000000001,131839.0,17,2295.705882352941,3345.054620146688,770.6470588235294,2773.8588957055213,48.466257668711656,26.993865030674847,73.00613496932516,0.0,target_hour_of_day,19
test,baseline_lag_1h_v0_1,163,2671.7852760736196,3361.1132787207034,2.463076241968112,2.435659237328743,2.526700432125701,1604.0429447852762,1604.0429447852762,2347.0,5369.0,6323.9000000000015,129201.40000000001,17,5216.35294117647,5727.363781213216,4935.764705882353,2671.7852760736196,31.901840490797547,69.93865030674846,30.061349693251532,0.0,target_hour_of_day,20
test,baseline_lag_1h_v0_1,163,3698.7423312883434,4641.49880925537,3.4114395629938086,3.329119692467555,3.5729031480388307,3660.963190184049,3660.963190184049,3088.0,8632.0,9324.300000000001,124993.60000000002,17,7847.823529411765,8249.061996586606,7847.823529411765,3698.7423312883434,17.791411042944784,95.70552147239265,4.294478527607362,0.0,target_hour_of_day,21
test,baseline_lag_1h_v0_1,163,5659.7791411042945,6200.854867840768,5.591479923669412,5.418111295577234,5.655125631895667,5659.7791411042945,5659.7791411042945,5053.0,9488.6,10225.5,121016.20000000001,17,9126.176470588236,9394.616734504676,9126.176470588236,5659.7791411042945,1.8404907975460123,100.0,0.0,0.0,target_hour_of_day,22
test,baseline_lag_1h_v0_1,163,8014.319018404908,8557.983858233865,8.37156030004532,7.999727188571172,8.391278410720515,8014.319018404908,8014.319018404908,7698.0,12115.6,12957.0,114700.20000000001,17,11549.70588235294,11855.630136824297,11549.70588235294,8014.319018404908,0.0,100.0,0.0,0.0,target_hour_of_day,23
test,baseline_lag_24h_exact_v0_1,163,3505.3619631901843,4807.3786934087575,3.72434708625331,3.7266345878440994,3.831724257809388,-26.098159509202453,26.098159509202453,2793.0,6911.600000000001,8602.300000000001,109017.8,17,6021.823529411765,7382.088501708634,-3436.764705882353,3505.3619631901843,79.75460122699386,49.693251533742334,50.306748466257666,0.0,target_hour_of_day,0
test,baseline_lag_24h_exact_v0_1,163,3355.159509202454,4635.704544039871,3.68484577587998,3.6879978190765406,3.79802639661368,-40.987730061349694,40.987730061349694,2696.0,6806.4,8305.0,105281.8,17,6472.764705882353,8172.8004164459335,-4366.176470588235,3355.159509202454,79.14110429447852,49.079754601226995,50.920245398773,0.0,target_hour_of_day,1
test,baseline_lag_24h_exact_v0_1,163,3280.4171779141107,4568.078847374268,3.683675862533247,3.68568443854806,3.816216558021147,-52.392638036809814,52.392638036809814,2511.0,7033.0,8136.200000000002,102884.20000000001,17,6003.64705882353,7948.612353923242,-3322.705882352941,3280.4171779141107,74.84662576687117,48.466257668711656,51.533742331288344,0.0,target_hour_of_day,2
test,baseline_lag_24h_exact_v0_1,163,3257.9018404907974,4578.854894756904,3.720869685937785,3.7239502792454546,3.8642326605149964,-64.7361963190184,64.7361963190184,2280.0,7038.400000000001,8669.0,99984.8,17,6324.705882352941,8247.256007124966,-2537.8823529411766,3257.9018404907974,68.71165644171779,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,3
test,baseline_lag_24h_exact_v0_1,163,3331.4539877300613,4680.416304041886,3.846049994349962,3.85079224356917,3.99637944553029,-72.05521472392638,72.05521472392638,2463.0,7228.600000000004,9785.800000000005,99128.6,17,6800.35294117647,8717.11283827932,-2954.9411764705883,3331.4539877300613,58.895705521472394,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,4
test,baseline_lag_24h_exact_v0_1,163,3502.4539877300613,4878.23245295165,4.046129067873293,4.050874574093869,4.193597744727353,-73.6319018404908,73.6319018404908,2575.0,7833.4000000000115,10071.6,99516.6,17,7271.64705882353,9384.642473367921,-3194.1176470588234,3502.4539877300613,44.785276073619634,49.079754601226995,50.920245398773,0.0,target_hour_of_day,5
