model_version,split,prediction_count,mae,rmse,mape,wape,bias,peak_hour_mae,ramp_mae,directional_accuracy,prediction_latency_ms,training_seconds
linear_regression_v0_1,validation,3913,775.9458595320648,1032.3038170753346,0.8341870079459761,0.8266982803574034,-64.46448852303763,897.9340237680698,775.9458595320648,88.52542806031178,0.0008324048058942642,0.0735428000043612
linear_regression_v0_1,test,3913,758.2901406233884,1018.8299281059143,0.7900482391084318,0.790841346268131,-44.08971573771012,985.8993163013907,758.2901406233884,89.80322003577818,0.0006521083538318392,0.0735428000043612
ridge_regression_v0_1,validation,3913,776.0844519903015,1032.3890116552438,0.8343210172299916,0.8268459377557739,-65.44900060452314,897.1685892112368,776.0844519903015,88.52542806031178,0.0006719652435761597,0.03252920000522863
ridge_regression_v0_1,test,3913,758.1486086729943,1018.8133968740044,0.7899064630204992,0.7906937387598787,-45.457542104207974,986.6767674572561,758.1486086729943,89.80322003577818,0.0006244824929405628,0.03252920000522863
lasso_regression_v0_1,validation,3913,775.8954088373254,1032.3050256734246,0.834145921331731,0.8266445298256214,-65.40963613855735,896.7573496222568,775.8954088373254,88.52542806031178,0.0007928699186443521,62.89753489999566
lasso_regression_v0_1,test,3913,758.342466403342,1018.9733540720686,0.7900684530695905,0.7908959182426909,-45.20834850419669,986.3853558450014,758.342466403342,89.8287758752875,0.0006422182467296993,62.89753489999566
random_forest_v0_1,validation,3913,699.6600574648959,1098.6989001071354,0.7224758604748787,0.7454228400545897,-90.82952223092958,1337.6196555740712,699.6600574648959,91.13212369026323,0.018242116020970978,12.200855000002775
random_forest_v0_1,test,3913,689.2547944690608,948.8235023715546,0.7069173430716841,0.7188425120911607,-76.62912806941365,1104.118292704272,689.2547944690608,91.08101201124457,0.017963915157185165,12.200855000002775
gradient_boosting_v0_1,validation,3913,625.6742746592056,965.0420985906903,0.6512115625113614,0.6665978567584027,-120.89695189715883,1200.4902526606813,625.6742746592056,91.31101456682852,0.0021787119856239443,38.78095410000242
gradient_boosting_v0_1,test,3913,605.2103852921134,800.0517983302439,0.6268710784670595,0.6311903191651581,-94.58195877939822,896.6774444356053,605.2103852921134,91.97546639407105,0.0023778175300324216,38.78095410000242
